PK,Shipment ID,Indicator,Sent to EBS,Utilization,Weight Utilization,Volume Utilization,EBS Trip,Service Provider Name,Destination Location Name,State,Mode,Equipment,Stops,Total Gross Weight,Total Gross Volume,Loaded Distance,Total Actual Cost,Planned Cost,Start Time,Pull Target Time,City,Destination Postal Code,End Time,Source Location ID,Source Location Name,Destination Location ID,Status,Service Provider ID,Total Ship Unit Count,Update User,Last Update Time,Number of Order Releases,Domain Name
CLP.1107654,1107654,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.06,0.01,20595631,CLOPAY TRUCK,"PRO-TEC DO,HAMPSTEAD,NC,USA",NC,TRUCK,BOXTRUCK,2,569.31,8.84,209,576.84,576.84,2017-09-11 14:26 America/New_York,,HAMPSTEAD,28443-3303,2017-09-11 14:26 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2544-5671,SECURE RESOURCES_ACCEPTED,CAR-200710,19,CLP.INTEGRATION,2017-09-11 14:45 EST5EDT,5,CLP
CLP.1110923,1110923,G,/images/icons/system/accepted.gif,/images/icons/system/40_percent.gif,0.38,0.06,20639757,CLOPAY TRUCK,"MARVIN'S G,EAST BEND,NC,USA",NC,TRUCK,BOXTRUCK,3,3807.36,63.01,217.8,373.98,373.15,2017-10-19 17:43 America/New_York,,EAST BEND,27018-8165,2017-10-19 17:43 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1440-4651,SECURE RESOURCES_ACCEPTED,CAR-200710,52,CLP.INTEGRATION,2017-10-20 08:50 EST5EDT,18,CLP
CLP.1108372,1108372,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.15,0.01,20604902,CLOPAY TRUCK,"BOONDOCKS ,ETOWAH,NC,USA",NC,TRUCK,BOXTRUCK,6,1459.28,13.22,330.8,730.43,745.47,2017-09-19 16:04 America/New_York,,ETOWAH,28729-9758,2017-09-19 16:04 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-7117-7695,SECURE RESOURCES_ACCEPTED,CAR-200710,86,CLP.INTEGRATION,2017-09-19 17:13 EST5EDT,19,CLP
CLP.1112287,1112287,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.17,0.03,,CLOPAY TRUCK,"HERITAGE G,FRANKLIN,NC,USA",NC,TRUCK,BOXTRUCK,3,1656.92,25.73,239.7,661.16,661.16,2017-11-07 03:31 America/New_York,,FRANKLIN,28734-4009,2017-11-07 09:59 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-6814-287985,SECURE RESOURCES_ACCEPTED,CAR-200710,80,CLP.ADMIN,2017-11-06 15:34 EST5EDT,17,CLP
CLP.1110592,1110592,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.08,0.05,20634084,CLOPAY TRUCK,"TMS CUSTOM,RALEIGH,NC,USA",NC,TRUCK,BOXTRUCK,3,816.87,46.99,350.2,589.54,591.33,2017-10-16 15:12 America/New_York,,RALEIGH,27616,2017-10-16 15:12 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2187839-310930,SECURE RESOURCES_ACCEPTED,CAR-200710,8,CLP.INTEGRATION,2017-10-16 17:18 EST5EDT,6,CLP
CLP.1110390,1110390,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0,0,20631456,RUSH DELIVERIES,"HALIFAX OV,SCOTTSBURG,VA,USA",VA,TRUCK,BOXTRUCK,2,17.78,0,88.8,222,245.08,2017-10-12 16:35 America/New_York,,SCOTTSBURG,24589-3028,2017-10-12 16:35 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1109841-156263,SECURE RESOURCES_ACCEPTED,CAR-7976505,31,CLP.INTEGRATION,2017-10-12 18:06 EST5EDT,4,CLP
CLP.1110467,1110467,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.23,0.06,20632197,CLOPAY TRUCK,"RUTHERFORD,RUTHERFORD,NC,USA",NC,TRUCK,BOXTRUCK,4,2285.78,60.87,183.4,460.64,460.64,2017-10-13 12:33 America/New_York,,RUTHERFORDTON,28139-8022,2017-10-13 12:33 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-7353-7908,SECURE RESOURCES_ACCEPTED,CAR-200710,104,CLP.INTEGRATION,2017-10-13 14:54 EST5EDT,22,CLP
CLP.1112638,1112638,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.06,0.02,,CLOPAY TRUCK,"ORIGINAL T,SUMMERFIEL,NC,USA",NC,TRUCK,BOXTRUCK,2,648.86,16.79,15,41.4,41.4,2017-11-09 14:51 America/New_York,,SUMMERFIELD,27358,2017-11-09 16:46 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-40555-279965,SECURE RESOURCES_ACCEPTED,CAR-200710,45,CLP.ADMIN,2017-11-09 14:53 EST5EDT,10,CLP
CLP.1112607,1112607,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.15,0.03,,CLOPAY TRUCK,"MARVIN'S G,EAST BEND,NC,USA",NC,TRUCK,BOXTRUCK,2,1530.02,28.79,53.2,146.84,146.84,2017-11-09 11:43 America/New_York,,EAST BEND,27018-8165,2017-11-09 14:27 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1440-4651,SECURE RESOURCES_ACCEPTED,CAR-200710,98,CLP.ADMIN,2017-11-09 11:46 EST5EDT,16,CLP
CLP.1112161,1112161,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.03,0,20656513,CLOPAY TRUCK,"HNC DOOR C,HICKORY,NC,USA",NC,TRUCK,BOXTRUCK,3,317.66,3.71,203.1,418.97,418.55,2017-11-03 14:08 America/New_York,,HICKORY,28602-8376,2017-11-03 14:08 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2720-5851,SECURE RESOURCES_ACCEPTED,CAR-200710,39,CLP.INTEGRATION,2017-11-03 14:31 EST5EDT,6,CLP
