PK,Shipment ID,Indicator,Sent to EBS,Utilization,Weight Utilization,Volume Utilization,EBS Trip,Service Provider Name,Destination Location Name,State,Mode,Equipment,Stops,Total Gross Weight,Total Gross Volume,Loaded Distance,Total Actual Cost,Planned Cost,Start Time,Pull Target Time,City,Destination Postal Code,End Time,Source Location ID,Source Location Name,Destination Location ID,Status,Service Provider ID,Total Ship Unit Count,Update User,Last Update Time,Number of Order Releases,Domain Name
CLP.1084054,1084054,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.02,0,20270652,CLOPAY TRUCK,"DEANS OVER,NEWBERN,TN,USA",TN,TRUCK,BOXTRUCK,5,224.31,2.05,174,381.61,381.61,2016-10-26 13:16 America/Chicago,,NEWBERN,38059-1240,2016-10-26 13:16 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-37734-29614,SECURE RESOURCES_ACCEPTED,CAR-200710,56,CLP.INTEGRATION,2016-10-26 14:51 EST5EDT,5,CLP
CLP.1071753,1071753,G,/images/icons/system/accepted.gif,/images/icons/system/30_percent.gif,0.28,0.06,20096401,CLOPAY TRUCK,"LBM ADVANT,HEBER SPRI,AR,USA",AR,TRUCK,BOXTRUCK,3,2776.16,59.31,151.5,445.4,568.44,2016-05-13 15:04 America/Chicago,,HEBER SPRINGS,72543,2016-05-13 15:04 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-2906841-288808,SECURE RESOURCES_ACCEPTED,CAR-200710,107,CLP.INTEGRATION,2016-05-13 16:31 EST5EDT,10,CLP
CLP.1083486,1083486,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.05,0.01,20262597,CLOPAY TRUCK,"DEANS OVER,NEWBERN,TN,USA",TN,TRUCK,BOXTRUCK,2,480.45,5.44,85.6,251.66,251.66,2016-10-19 14:16 America/Chicago,,NEWBERN,38059-1240,2016-10-19 14:16 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-37734-29614,SECURE RESOURCES_ACCEPTED,CAR-200710,6,CLP.INTEGRATION,2016-10-19 15:46 EST5EDT,3,CLP
CLP.1070981,1070981,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.01,0,20085679,CLOPAY TRUCK,"DOORS & MO,LEXINGTON,TN,USA",TN,TRUCK,BOXTRUCK,3,107.96,2.3,144.6,353.68,354.42,2016-05-04 12:54 America/Chicago,,LEXINGTON,38351-1919,2016-05-04 12:54 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-67554-65892,SECURE RESOURCES_ACCEPTED,CAR-200710,25,CLP.INTEGRATION,2016-05-04 15:42 EST5EDT,3,CLP
CLP.1083579,1083579,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.15,0.03,,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,4,1505.39,34.18,254.6,551.1,551.54,2016-10-20 10:33 America/Chicago,,SEARCY,72143-6914,2016-10-20 16:31 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,88,CLP.INTEGRATION,2016-10-20 12:14 EST5EDT,12,CLP
CLP.1082377,1082377,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.07,0.02,20246766,CLOPAY TRUCK,"DOORS & MO,LEXINGTON,TN,USA",TN,TRUCK,BOXTRUCK,4,659.17,16.09,198.9,433.5,433.5,2016-10-05 11:35 America/Chicago,,LEXINGTON,38351-1919,2016-10-05 11:35 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-67554-65892,SECURE RESOURCES_ACCEPTED,CAR-200710,18,CLP.INTEGRATION,2016-10-05 14:21 EST5EDT,8,CLP
CLP.1083137,1083137,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.06,0,,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,2,583.6,0,120.3,353.68,353.68,2016-10-14 04:33 America/Chicago,,SEARCY,72143-6914,2016-10-17 07:30 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,112,CLP.INTEGRATION,2016-10-14 16:52 EST5EDT,9,CLP
CLP.1082992,1082992,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.04,0,,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,3,372.69,2.72,170.8,501.27,501.27,2016-10-13 10:12 America/Chicago,,GREENVILLE,38701-7737,2016-10-13 14:24 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,55,CLP.INTEGRATION,2016-10-13 11:55 EST5EDT,7,CLP
CLP.1082600,1082600,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.05,0,,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,5,510.49,4.7,339.9,676.49,743.67,2016-10-07 05:16 America/Chicago,,SEARCY,72143-6914,2016-10-10 14:03 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,88,CLP.INTEGRATION,2016-10-07 17:30 EST5EDT,7,CLP
CLP.1084165,1084165,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.12,0.02,,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,3,1244.45,17.07,170.8,501.27,501.27,2016-10-27 04:33 America/Chicago,,GREENVILLE,38701-7737,2016-10-28 08:44 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,99,CLP.INTEGRATION,2016-10-27 17:31 EST5EDT,11,CLP
